Accession,Release_Date,Species,Length,Sequence_Type,Nuc_Completeness,Geo_Location,USA,Host,Isolation_Source,Collection_Date,GenBank_Title
MW047314,2020-09-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,GenBank,complete,"USA: Texas, Galveston",TX,Homo sapiens,oronasopharynx,2020-04-01,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WRCEVA_000510/2020, complete genome"
MW047315,2020-09-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,GenBank,complete,"USA: Texas, Galveston",TX,Homo sapiens,oronasopharynx,2020-03-27,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WRCEVA_000513/2020, complete genome"
MW047316,2020-09-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,GenBank,complete,"USA: Texas, Galveston",TX,Homo sapiens,oronasopharynx,2020-03-27,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WRCEVA_000514/2020, complete genome"
MW047317,2020-09-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,GenBank,complete,"USA: Texas, Galveston",TX,Homo sapiens,oronasopharynx,2020-03-27,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WRCEVA_000515/2020, complete genome"
MW047318,2020-09-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,GenBank,complete,"USA: Texas, Galveston",TX,Homo sapiens,oronasopharynx,2020-04-01,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WRCEVA_000516/2020, complete genome"
MW042923,2020-09-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29854,GenBank,complete,"USA: SC, GEORGETOWN",SC,Homo sapiens,oronasopharynx,2020-07-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/COVID20-1096/2020, complete genome"
MW042925,2020-09-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29819,GenBank,complete,"USA: SC, GEORGETOWN",SC,Homo sapiens,oronasopharynx,2020-07-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/COVID20-1098/2020, complete genome"
MW040606,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-07-30,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1402/2020, complete genome"
MW040617,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-05-27,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1407/2020, complete genome"
MW040621,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-08-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1411/2020, complete genome"
MW040622,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29850,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-08-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1412/2020, complete genome"
MW040623,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-08-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1413/2020, complete genome"
MW040624,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-08-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1414/2020, complete genome"
MW040625,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-08-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1415/2020, complete genome"
MW040627,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-08-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1417/2020, complete genome"
MW040628,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29844,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-08-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1418/2020, complete genome"
MW040629,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-09-01,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1419/2020, complete genome"
MW040630,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-08-31,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1420/2020, complete genome"
MW040631,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29854,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-08-31,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1421/2020, complete genome"
MW040632,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-08-31,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1422/2020, complete genome"
MW040633,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29842,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-08-31,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1423/2020, complete genome"
MW040634,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-08-31,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1424/2020, complete genome"
MW040635,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-08-31,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1425/2020, complete genome"
MW040636,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29844,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-08-31,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1426/2020, complete genome"
MW040638,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-09-01,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1428/2020, complete genome"
MW040639,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-09-01,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1429/2020, complete genome"
MW040640,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-09-01,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1430/2020, complete genome"
MW040641,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-08-31,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1431/2020, complete genome"
MW040642,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-08-31,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1432/2020, complete genome"
MW040643,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29854,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-09-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1433/2020, complete genome"
MW040644,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29841,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-09-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1434/2020, complete genome"
MW040645,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-09-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1435/2020, complete genome"
MW040646,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-09-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1436/2020, complete genome"
MW040647,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29850,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-09-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1437/2020, complete genome"
MW040648,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-09-04,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1438/2020, complete genome"
MW040649,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-09-04,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1439/2020, complete genome"
MW040650,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29850,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-09-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1440/2020, complete genome"
MW040651,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29847,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-09-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1441/2020, complete genome"
MW040652,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-09-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1442/2020, complete genome"
MW040653,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-09-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1443/2020, complete genome"
MW040654,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29833,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-09-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1444/2020, complete genome"
MW040655,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-09-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1445/2020, complete genome"
MW040659,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-04-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1449/2020, complete genome"
MW040660,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-04-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1450/2020, complete genome"
MW040664,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-04-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1454/2020, complete genome"
MW040665,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29844,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-04-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1455/2020, complete genome"
MW040666,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-04-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1456/2020, complete genome"
MW040667,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29850,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-04-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1457/2020, complete genome"
MW040668,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-04-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1458/2020, complete genome"
MW040669,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-04-09,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1459/2020, complete genome"
MW040673,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-04-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1463/2020, complete genome"
MW040675,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29848,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-05-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1465/2020, complete genome"
MW040678,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-05-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1468/2020, complete genome"
MW040679,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29848,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-05-09,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1469/2020, complete genome"
MW040681,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-05-12,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1471/2020, complete genome"
MW040683,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29837,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-05-12,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1473/2020, complete genome"
MW040686,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29791,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-06-25,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1476/2020, complete genome"
MW040687,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29843,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-06-25,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1477/2020, complete genome"
MW040690,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-06-27,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1480/2020, complete genome"
MW040693,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-06-28,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1483/2020, complete genome"
MW040694,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-06-28,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1484/2020, complete genome"
MW040695,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-06-28,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1485/2020, complete genome"
MW040696,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29848,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-06-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1486/2020, complete genome"
MW040697,2020-09-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,GenBank,complete,USA: FL,FL,Homo sapiens,,2020-06-30,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-1487/2020, complete genome"
MW039234,2020-09-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29873,GenBank,complete,USA: Wyoming,WY,Homo sapiens,,2020-05-02,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WY-WYPHL-20011618/2020, complete genome"
MW039235,2020-09-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,GenBank,complete,USA: Wyoming,WY,Homo sapiens,,2020-05-01,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WY-WYPHL-20011656/2020, complete genome"
MW039450,2020-09-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29872,GenBank,complete,USA: Wyoming,WY,Homo sapiens,,2020-05-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WY-WYPHL-20015627/2020, complete genome"
MW035370,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1199/2020, complete genome"
MW035371,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1200/2020, complete genome"
MW035373,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1202/2020, complete genome"
MW035374,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Marquette county",WI,Homo sapiens,oronasopharynx,2020-08-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1203/2020, complete genome"
MW035376,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-07-30,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1205/2020, complete genome"
MW035377,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Green county",WI,Homo sapiens,oronasopharynx,2020-08-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1206/2020, complete genome"
MW035378,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1207/2020, complete genome"
MW035379,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1208/2020, complete genome"
MW035380,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1209/2020, complete genome"
MW035381,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Lafayette county",WI,Homo sapiens,oronasopharynx,2020-08-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1210/2020, complete genome"
MW035382,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1211/2020, complete genome"
MW035384,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1213/2020, complete genome"
MW035385,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1214/2020, complete genome"
MW035386,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1215/2020, complete genome"
MW035388,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Green county",WI,Homo sapiens,oronasopharynx,2020-08-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1217/2020, complete genome"
MW035389,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1218/2020, complete genome"
MW035391,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Green county",WI,Homo sapiens,oronasopharynx,2020-08-17,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1220/2020, complete genome"
MW035392,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1221/2020, complete genome"
MW035393,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1222/2020, complete genome"
MW035394,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Green county",WI,Homo sapiens,oronasopharynx,2020-08-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1223/2020, complete genome"
MW035395,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dodge county",WI,Homo sapiens,oronasopharynx,2020-08-17,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1224/2020, complete genome"
MW035396,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1225/2020, complete genome"
MW035397,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-17,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1226/2020, complete genome"
MW035399,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-15,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1228/2020, complete genome"
MW035400,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1229/2020, complete genome"
MW035401,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Sauk county",WI,Homo sapiens,oronasopharynx,2020-08-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1230/2020, complete genome"
MW035402,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dodge county",WI,Homo sapiens,oronasopharynx,2020-08-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1231/2020, complete genome"
MW035403,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-17,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1232/2020, complete genome"
MW035404,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-17,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1233/2020, complete genome"
MW035405,2020-09-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,GenBank,complete,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,2020-08-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-UW-1234/2020, complete genome"
